               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094331,             0.05518,            0.036184,           0.0012857,             0.17763,           0.0010363,          0.00028923,            0.065865,            0.031552,            0.028107,              0.0748,              0.0028,              0.0028
                   1,            0.078009,            0.062497,            0.031595,           0.0013175,             0.18202,           0.0022887,          0.00056718,             0.06425,             0.03087,            0.026291,            0.048689,           0.0056887,           0.0056887
                   2,            0.070687,            0.063943,             0.02868,           0.0045157,             0.37745,            0.014869,           0.0034802,            0.055771,            0.030972,            0.025994,            0.022566,           0.0085659,           0.0085659
                   3,            0.066402,            0.064733,            0.026701,             0.39052,             0.16854,            0.055333,            0.018257,            0.047244,            0.028796,            0.021344,           0.0099406,           0.0099406,           0.0099406
                   4,            0.061241,             0.06025,             0.02538,               0.388,              0.2902,            0.061865,            0.019463,            0.045819,            0.041692,            0.022474,           0.0099406,           0.0099406,           0.0099406
                   5,            0.058314,            0.059664,            0.024097,             0.43719,              0.1106,            0.094524,            0.041259,            0.044357,             0.04205,            0.021628,           0.0099208,           0.0099208,           0.0099208
                   6,             0.05646,            0.057408,            0.023266,             0.46269,             0.33851,             0.13533,            0.058525,            0.042398,            0.049648,            0.019717,            0.009901,            0.009901,            0.009901
                   7,            0.053886,              0.0574,            0.022952,             0.48561,             0.22426,             0.16081,            0.058279,            0.042838,            0.045514,             0.01779,           0.0098812,           0.0098812,           0.0098812
                   8,            0.053195,            0.056265,             0.02205,             0.51753,             0.21812,             0.15423,             0.05997,            0.041807,            0.029109,            0.020107,           0.0098614,           0.0098614,           0.0098614
                   9,            0.050484,            0.054384,             0.02109,             0.60913,             0.31817,             0.30516,             0.12414,            0.037693,            0.024135,            0.017293,           0.0098416,           0.0098416,           0.0098416
                  10,            0.049936,            0.054746,            0.021202,             0.61805,             0.33314,             0.29592,             0.12695,            0.035789,            0.027054,            0.018001,           0.0098218,           0.0098218,           0.0098218
